Title,Link,Classifications,IMDb Rating,Budget,Gross US & Canada,Opening Weekend US & Canada,Opening Weekend Date,Gross Worldwide,Runtime,Color,Sound mix,Aspect ratio,
Good Will Hunting,https://www.imdb.com/title/tt0119217/?ref_=chttp_t_81,R,8.3,10000000,138433435,272912,12/7/1997,225933435,2 hours 6 minutes,Color,Dolby Digital,1.85 : 1,
Princess Mononoke,https://www.imdb.com/title/tt0119698/?ref_=chttp_t_82,PG-13,8.3,15103200,4845631,144446,10/31/1999,170308860,2 hours 14 minutes,,,,
Joker,https://www.imdb.com/title/tt7286456/?ref_=chttp_t_83,R,8.4,55000000,335477657,96202337,10/6/2019,1078958629,2 hours 2 minutes,Color,SDDS,1.85 : 1,
Your Name.,https://www.imdb.com/title/tt5311514/?ref_=chttp_t_84,,8.4,2328040,5017246,1813781,4/9/2017,382238191,,,,,
High and Low,https://www.imdb.com/title/tt0057565/?ref_=chttp_t_85,Not Rated,8.4,,46808,15942,7/28/2002,46808,2 hours 23 minutes,Black and White,,2.35 : 1,
Once Upon a Time in America,https://www.imdb.com/title/tt0087843/?ref_=chttp_t_86,R,8.3,30000000,5321508,2412014,6/3/1984,5475086,3 hours 49 minutes,Color,Mono,1.85 : 1,
3 Idiots,https://www.imdb.com/title/tt1187043/?ref_=chttp_t_87,PG-13,8.4,550000000,6532874,1645502,12/27/2009,60262836,2 hours 50 minutes,Color,Dolby Digital,2.35 : 1,
Singin' in the Rain,https://www.imdb.com/title/tt0045152/?ref_=chttp_t_88,G,8.3,2540800,1884537,13643,11/10/2002,2086028,1 hours 43 minutes,Color,Dolby Digital,1.37 : 1,
Capernaum,https://www.imdb.com/title/tt8267604/?ref_=chttp_t_89,R,8.4,4000000,1661096,24988,12/16/2018,64417003,2 hours 6 minutes,Color,Dolby Digital,2.35 : 1,
Come and See,https://www.imdb.com/title/tt0091251/?ref_=chttp_t_90,Not Rated,8.4,,71909,16053,2/23/2020,20929648,2 hours 22 minutes,Color,Mono,1.37 : 1,
Requiem for a Dream,https://www.imdb.com/title/tt0180093/?ref_=chttp_t_91,NC-17,8.3,4500000,3635482,64770,10/8/2000,7390108,1 hours 42 minutes,Color,Dolby Surround 7.1,1.85 : 1,
